id,Formule,No Ele,Ele,BG,IM,Is BG Dir,Structure,a,b,c,alfa,beta,gamma,CA
mp-12509,YZnPO,4,O-P-Y-Zn,1.3049,False,False,Trigonal,3.9075923231660186,3.9075923231660186,10.411139186458561,79.18350369942519,79.18350369942519,59.999994528474424,88448.50182201395
mp-12668,Tb2SO2,3,O-S-Tb,2.9772000000000003,False,False,Trigonal,3.80964225,3.809640925507339,6.61388556,90.0,90.0,120.00000273079114,3489.244679628426
mp-12954,CuBS2,3,B-Cu-S,1.7424999999999997,False,True,Tetragonal,4.984760566259418,4.984759920528812,5.73009074297018,115.78296174450449,115.78296291316131,90.00000227581505,34344.16096569466
mp-13031,MgSe,2,Mg-Se,2.5476,False,True,Cubic,4.198698088572831,4.198697142593317,4.19869809,59.99999261457459,60.00000006754165,60.000010832327796,14204.630377360634
mp-13275,NaSrP,3,Na-P-Sr,1.2357,False,True,Hexagonal,7.66479957,7.664799082624282,4.48604454,90.0,90.0,119.99999335390774,296219.53723601607
mp-13276,SrLiP,3,Li-P-Sr,1.3430999999999997,False,False,Hexagonal,4.37129639,4.371296435707485,8.04126415,90.0,90.0,119.99998416103683,242793.16118227597
mp-13277,BaLiP,3,Ba-Li-P,0.9631000000000003,False,True,Hexagonal,4.52361713,4.523618260822142,8.75238429,90.0,90.0,119.99999938938004,400210.4247408962
mp-13610,ZnPbF6,3,F-Pb-Zn,1.7555,False,True,Trigonal,5.6495274359679835,5.649527841339983,5.649528042482182,53.968395876332565,53.96839584489526,53.96840591019299,21597.407438069244
mp-13694,PrCuO2,3,Cu-O-Pr,2.3609,False,False,Trigonal,6.077709305527921,6.077709620184144,6.07771011453303,36.31808997791609,36.31808432576947,36.31809343422592,30062.749746927522
mp-13971,Nd2SeO2,3,Nd-O-Se,2.1510999999999996,False,False,Trigonal,4.00093465,4.000935317992993,7.03823685,90.0,90.0,119.99999439435402,6000.307792603573
mp-13972,Sm2SeO2,3,O-Se-Sm,2.1358,False,False,Trigonal,3.93799707,3.9379974154689834,6.94589621,90.0,90.0,120.00000572764914,5760.77743343236
mp-13974,Ho2SeO2,3,Ho-O-Se,2.1517000000000004,False,False,Trigonal,3.80051838,3.8005175580740684,6.75888045,90.0,90.0,119.99999827596183,5227.752846947823
mp-13984,CdPdF6,3,Cd-F-Pd,1.7751000000000001,False,True,Trigonal,5.648176928712113,5.648176914050577,5.648177919448836,53.18586360171602,53.18585316624107,53.18586747311883,85628.0685851161
mp-14088,Rb2PdF6,3,F-Pd-Rb,2.2306,False,True,Cubic,6.001675428485004,6.0016765596306705,6.00167594,59.99999790349979,59.99999166890707,60.00000064870734,7150.90077402524
mp-14091,AlAgSe2,3,Ag-Al-Se,1.1351999999999998,False,True,Tetragonal,5.9752059364763,5.975205728942019,6.944284353004935,115.48181072550261,115.48181733310031,90.00001148449448,89730.35346629101
mp-14115,LiRhO2,3,Li-O-Rh,1.5152999999999999,False,False,Trigonal,4.998864065918957,4.998864515498183,4.998863576712594,35.40708847687191,35.40707613151846,35.40709441736198,319909.78095456463
mp-14205,K3Cu3As2,3,As-Cu-K,1.2741,False,False,Trigonal,7.581769014925905,7.581768888300808,7.581768716450823,44.55489305354121,44.554904524911976,44.554891825279604,415248.42532602296
mp-15781,KLaS2,3,K-La-S,2.7005,False,False,Trigonal,7.710213388022547,7.710213388022547,7.71021324970624,32.316092430627684,32.316092430627684,32.31610572679913,11892.913523845104
