Formule,Ele,BG,Structure,CA
Cd(AsO3)2,As-Cd-O,1.9349,5,21823.626634634704
La2SeO2,La-O-Se,2.4067,5,8347.596784425654
KNbO3,K-Nb-O,2.2934,5,10891.93744703933
K3Cu3P2,Cu-K-P,1.2892,5,316380.148244157
RbAuO2,Au-O-Rb,1.4611,3,20636.443532558747
Th2TeN2,N-Te-Th,1.6182999999999996,2,114963.56716171245
Li2PdO2,Li-O-Pd,1.1973000000000005,3,98639.5568730698
LaSeF,F-La-Se,1.7260999999999995,4,57312.831499804095
Th2SeN2,N-Se-Th,1.3591999999999995,5,27554.07512665424
Th2SN2,N-S-Th,1.4240000000000004,5,20698.3546223314
CaGeN2,Ca-Ge-N,2.6621999999999995,2,6830.4352579140605
Rb2Sn2O3,O-Rb-Sn,1.2195999999999998,5,83902.74471708787
Rb2O2,O-Rb,1.7600000000000002,3,23874.58946365744
Cs2O2,Cs-O,1.6496,3,29350.10738547648
Al2HgS4,Al-Hg-S,2.0244000000000004,2,56412.52379013178
MgPdF6,F-Mg-Pd,1.8285,5,72200.84236859188
K2PtS2,K-Pt-S,1.2355999999999998,3,85355.80796884278
Rb2PtS2,Pt-Rb-S,1.2521,3,100232.41293131748
CsSmO2,Cs-O-Sm,2.9281000000000006,4,3431.1852172718404
K2PdF6,F-K-Pd,2.0399000000000003,5,16463.907998404524
AlCuTe2,Al-Cu-Te,1.0186000000000002,2,319313.0016130894
Rb2S,Rb-S,1.9632,1,45433.19359762542
ThSO,O-S-Th,1.1144999999999996,2,34968.605989908945
HgF2,F-Hg,0.9687,1,97377.12392970888
Li2CeN2,Ce-Li-N,1.2035999999999998,5,309192.9980190044
ThNF,F-N-Th,2.2590000000000003,5,8203.687447345876
CaPtF6,Ca-F-Pt,2.643,5,8873.905638087723
ZnPtF6,F-Pt-Zn,2.0919,5,88208.41493965672
NaGdS2,Gd-Na-S,1.762,5,60189.50907604073
Ba(MgP)2,Ba-Mg-P,1.1366,5,252430.03640810424
Ba(MgAs)2,As-Ba-Mg,1.0689000000000002,5,312383.2603349332
SnF3,F-Sn,2.7195,1,7433.081679332176
Sr4P2O,O-P-Sr,1.2134,2,207960.65972027215
Sr4As2O,As-O-Sr,1.1923999999999997,2,259193.16692147104
Tl3SbS3,S-Sb-Tl,1.592,5,266429.622610113
NaLiS,Li-Na-S,2.2642,2,4514.839140198535
NaErSe2,Er-Na-Se,1.9258,5,24258.858375349773
Rb2PtSe2,Pt-Rb-Se,1.0034,3,283592.3353381461
CsNaSe,Cs-Na-Se,2.027,2,45657.00592164812
RbLiS,Li-Rb-S,2.745,2,5798.108931361367
KLiSe,K-Li-Se,2.5249,2,12517.65132389981
NaRhO2,Na-O-Rh,1.3773999999999995,5,293044.74917305965
Cd(SbO3)2,Cd-O-Sb,1.4136000000000006,5,36774.09289700449
Cs2HgF4,Cs-F-Hg,2.0818,2,2920.969068014745
Ho2CF2,C-F-Ho,1.1355000000000004,5,191081.89803251612
NaLuS2,Lu-Na-S,2.4323,5,8779.86310108244
KSmTe2,K-Sm-Te,1.2623000000000002,5,363821.293332873
NaTmS2,Na-S-Tm,2.3614,5,9757.629959099286
CsSmS2,Cs-S-Sm,2.1397,5,26631.3193887575
CsGdS2,Cs-Gd-S,1.8329,5,73630.44744077115
Ca(SbO3)2,Ca-O-Sb,2.6943,5,3084.2803018314885
Sr(SbO3)2,O-Sb-Sr,2.7881,5,2848.859454669209
Ba(SbO3)2,Ba-O-Sb,2.8606,5,2837.0065165393453
BaCuSeF,Ba-Cu-F-Se,1.4265000000000003,2,137046.15259772676
RbLiSe,Li-Rb-Se,2.3089,2,17725.60233224792
Cs2PtF6,Cs-F-Pt,2.814,1,1304.5655029933089
KErTe2,Er-K-Te,1.3304000000000005,5,466269.2191196584
TaCu3Te4,Cu-Ta-Te,1.1406999999999998,1,501207.6808262144
RbLaS2,La-Rb-S,2.6857,5,11724.77006551445
RbPrS2,Pr-Rb-S,2.2686,5,21264.74500247214
RbNdS2,Nd-Rb-S,2.2617,5,19606.848064312268
RbTbS2,Rb-S-Tb,2.3079,5,12821.977826435388
RbHoS2,Ho-Rb-S,2.335500000000001,5,11285.532322452573
RbErS2,Er-Rb-S,2.3521,5,10629.08827474711
RbTmS2,Rb-S-Tm,2.3680000000000003,5,9997.062436475211
RbLuS2,Lu-Rb-S,2.3998,5,9112.68467085665
NdZnPO,Nd-O-P-Zn,1.2317999999999998,5,109245.19682620352
LiBeAs,As-Be-Li,1.0077000000000005,2,39840.25395232686
